product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
dolore ea,Fruits & Vegetables,Nazareth-Magar,29.85,39.8,25,3,16,91
consequatur voluptatibus,Fruits & Vegetables,"Iyengar, Issac and Chaudhary",441.13,588.17,25,3,17,87
corrupti atque,Fruits & Vegetables,Halder-Patla,33.84,45.12,25,3,27,100
in dignissimos,Fruits & Vegetables,"Chopra, Johal and Garde",447.07,596.09,25,3,28,63
dolorem corrupti,Fruits & Vegetables,Vala Group,107.52,143.36,25,3,23,100
iure dicta,Fruits & Vegetables,Kanda-Dhillon,230.69,307.59,25,3,21,84
vero cum,Fruits & Vegetables,Din-Roy,733.9,978.53,25,3,14,92
laudantium a,Fruits & Vegetables,Karan-Balan,611.22,814.96,25,3,23,59
quasi corrupti,Fruits & Vegetables,Dua Inc,443.17,590.89,25,3,29,62
aperiam quia,Fruits & Vegetables,Saran and Sons,177.21,236.28,25,3,19,98
maiores esse,Fruits & Vegetables,Lata-Ratta,915.2,1220.27,25,3,17,99
itaque quidem,Fruits & Vegetables,Om Ltd,792.59,1056.79,25,3,24,66
quibusdam esse,Fruits & Vegetables,Gera-Sandhu,860.08,1146.77,25,3,17,70
fugiat magnam,Fruits & Vegetables,Oommen-Wali,705.02,940.03,25,3,12,89
iure cum,Fruits & Vegetables,Mander and Sons,351.04,468.05,25,3,25,62
vel rerum,Fruits & Vegetables,Arya-Roy,105.85,141.13,25,3,15,80
ducimus reiciendis,Fruits & Vegetables,Guha-Dugal,917.04,1222.72,25,3,10,86
ut eveniet,Fruits & Vegetables,Grewal and Sons,496.54,662.05,25,3,15,56
placeat provident,Fruits & Vegetables,Lanka LLC,689.04,918.72,25,3,29,86
ut alias,Fruits & Vegetables,Chahal LLC,556.48,741.97,25,3,18,56
eveniet laborum,Fruits & Vegetables,Ganesan LLC,698.36,931.15,25,3,16,81
soluta accusamus,Fruits & Vegetables,Kohli Group,439.16,585.55,25,3,14,77
doloribus et,Fruits & Vegetables,"Jha, Sankar and Sarma",888.22,1184.29,25,3,28,67
necessitatibus rem,Fruits & Vegetables,Vig-Choudhury,89.36,119.15,25,3,30,79
sunt minus,Dairy & Breakfast,Balay Inc,147.13,183.91,20,7,20,77
magni tempora,Dairy & Breakfast,"Sarna, Rajagopal and Sundaram",723.74,904.67,20,7,14,93
incidunt aliquid,Dairy & Breakfast,Mutti-Peri,809.79,1012.24,20,7,12,74
sit laudantium,Dairy & Breakfast,"Sura, Chakrabarti and Parikh",712.39,890.49,20,7,10,94
ut cum,Dairy & Breakfast,Iyengar Group,139.75,174.69,20,7,19,85
non odio,Dairy & Breakfast,Pant Ltd,855.35,1069.19,20,7,13,80
aliquam expedita,Dairy & Breakfast,Bhardwaj and Sons,346.73,433.41,20,7,17,71
adipisci facere,Dairy & Breakfast,"Iyer, Mishra and Ramachandran",513.55,641.94,20,7,18,56
ex eveniet,Dairy & Breakfast,Gokhale Ltd,568.33,710.41,20,7,15,56
libero suscipit,Dairy & Breakfast,"Bala, Bedi and Patel",277.27,346.59,20,7,29,69
amet tempore,Dairy & Breakfast,Aggarwal-Verma,477.36,596.7,20,7,30,65
praesentium totam,Dairy & Breakfast,"Agarwal, Rana and Raman",112.86,141.07,20,7,13,69
aperiam ipsum,Dairy & Breakfast,Sankaran Inc,192.4,240.5,20,7,30,94
esse dolorum,Dairy & Breakfast,Goel LLC,422.97,528.71,20,7,16,71
